Câu hỏi,Trả lời
Nếu em mua sản phẩm về mà bé không dùng được hoặc size không phù hợp thì GAIA có cho đổi trả không ạ?,"Dạ, GAIA có chính sách hỗ trợ đổi trả linh hoạt cho khách hàng ạ. Trong vòng 3-5 ngày sau khi mua, nếu sản phẩm Anh/Chị chưa sử dụng hoặc còn nguyên tem mác mà bé không dùng được (ví dụ: không hợp khẩu vị, kích cỡ không vừa), Anh/Chị có thể mang đến GAIA để đổi sang sản phẩm khác hoặc trả lại. Chúng tôi luôn mong muốn Anh/Chị và bé hài lòng với sản phẩm đã mua. Lưu ý một số mặt hàng đặc thù như thuốc đã mở nắp thì không đổi trả được vì lý do an toàn. Anh/Chị có muốn GAIA hướng dẫn chi tiết về điều kiện đổi trả để yên tâm mua sắm không ạ?"
GAIA có bán các sản phẩm nhập khẩu từ Nhật Bản cho thú cưng không ạ?,"Dạ, có ạ. GAIA có một số sản phẩm nhập khẩu từ Nhật Bản để phục vụ những khách hàng muốn trải nghiệm chất lượng Nhật. Ví dụ như một số dòng thức ăn chức năng, bánh thưởng, vitamin Nhật hoặc phụ kiện cao cấp Made in Japan. Những sản phẩm này được GAIA chọn lựa kỹ để đảm bảo phù hợp với thú cưng Việt Nam. Nếu Anh/Chị quan tâm, nhân viên GAIA sẽ giới thiệu các mặt hàng xuất xứ Nhật hiện có. Anh/Chị có muốn ghé GAIA để xem qua các sản phẩm Nhật Bản dành cho bé cưng không ạ?"
Khách hàng thân thiết có được ưu đãi gì khi mua sắm tại GAIA không ạ?,"Dạ, có chứ ạ. Nếu Anh/Chị là khách hàng thân thiết hoặc có thẻ thành viên GAIA, Anh/Chị sẽ được giảm giá trực tiếp khi mua sản phẩm (thường từ 5-10% tùy mặt hàng). Ngoài ra, còn được tích điểm cho mỗi hóa đơn để đổi quà hoặc ưu đãi dịch vụ. GAIA luôn trân trọng khách hàng gắn bó nên cố gắng mang lại quyền lợi tốt nhất. Anh/Chị có muốn đăng ký làm thành viên GAIA ngay để hưởng ưu đãi mua sắm cũng như các dịch vụ khác không ạ?"
GAIA có dịch vụ cấp cứu thú y 24/7 không ạ?,"Dạ, GAIA có hỗ trợ cấp cứu thú y 24/7 ạ. Ngoài giờ hành chính, chúng tôi vẫn có bác sĩ trực cấp cứu qua điện thoại và sẵn sàng có mặt khi cần. Nếu bé gặp tình huống nguy kịch ban đêm, Anh/Chị có thể gọi ngay vào số hotline cấp cứu 024 3795 6956, GAIA sẽ hướng dẫn sơ cứu và mở cửa bệnh viện để đón bé bất cứ lúc nào. Anh/Chị yên tâm là GAIA luôn bên cạnh bé 24/7. Anh/Chị có muốn lưu lại số hotline cấp cứu của GAIA để phòng trường hợp khẩn cấp không ạ?"
"Khi thú cưng bị nguy kịch, em nên liên hệ GAIA bằng cách nào?","Dạ, nếu thú cưng không may gặp tình huống nguy kịch, Anh/Chị hãy gọi ngay đến hotline cấp cứu 024 3795 6956 của GAIA ạ. Đầu dây sẽ có bác sĩ hướng dẫn Anh/Chị sơ cứu ban đầu (nếu cần) và chuẩn bị để đón bé. Anh/Chị cũng có thể trực tiếp đưa bé tới thẳng GAIA, nhưng gọi trước vài phút sẽ giúp chúng tôi sẵn sàng mọi thứ để cấp cứu ngay khi bé tới. GAIA hiểu thời gian trong cấp cứu là quý giá, nên luôn phản ứng thật nhanh. Anh/Chị có cần GAIA gửi lưu ý các bước sơ cứu cơ bản qua email để tham khảo trước không ạ?"
GAIA có xe cứu thương chuyên dụng cho thú cưng không ạ?,"Dạ, GAIA có xe vận chuyển và có thể dùng như xe cứu thương thú cưng trong trường hợp cần thiết ạ. Xe được trang bị lồng vận chuyển, bình oxy và túi dụng cụ cấp cứu cơ bản. Nếu Anh/Chị ở xa hoặc không thể tự đưa bé đến được, GAIA sẽ điều phối xe cùng bác sĩ đến tận nơi để hỗ trợ. Tất nhiên trong cấp cứu, nếu gần bệnh viện hơn thì nên ưu tiên đưa bé tới ngay, nhưng GAIA luôn có phương án xe cứu thương khi cần. Anh/Chị có muốn GAIA cung cấp sẵn số tài xế cấp cứu để gọi nhanh trong tình huống khẩn không ạ?"
"Nếu thú cưng bị tai nạn nặng, GAIA có thể tiến hành phẫu thuật cấp cứu ngay được không?","Dạ, trong trường hợp bé bị tai nạn hoặc tình trạng nguy kịch cần mổ gấp, GAIA hoàn toàn có thể tiến hành phẫu thuật cấp cứu ngay lập tức ạ. Bệnh viện của chúng tôi luôn chuẩn bị sẵn sàng phòng mổ và đội ngũ trực cấp cứu. Khi Anh/Chị đưa bé tới, bác sĩ sẽ thăm khám nhanh, đồng thời kích hoạt ê-kíp phẫu thuật nếu cần. Nhờ có đầy đủ thiết bị và máu dự trữ, GAIA có thể xử lý hầu hết các ca cấp cứu phẫu thuật như xuất huyết nội, gãy xương nặng... Anh/Chị cứ yên tâm, trường hợp khẩn cấp bé sẽ được ưu tiên tối đa. Anh/Chị có muốn biết thêm về những trường hợp cấp cứu mà GAIA đã từng xử lý thành công để thêm tin tưởng không ạ?"
GAIA có dịch vụ cho thú cưng nằm viện qua đêm để theo dõi không ạ?,"Dạ, GAIA có dịch vụ nội trú cho thú cưng cần theo dõi điều trị qua đêm ạ. Nếu bé bị bệnh nặng hoặc sau phẫu thuật cần chăm sóc, chúng tôi sẽ sắp xếp chuồng bệnh với đèn sưởi, oxy (nếu cần), truyền dịch và có bác sĩ, điều dưỡng theo dõi 24/24. Việc nằm viện sẽ giúp bé được chăm sóc tốt hơn và can thiệp kịp thời nếu có diễn biến bất thường. GAIA sẽ cập nhật tình hình bé cho Anh/Chị thường xuyên trong thời gian nội trú. Anh/Chị có muốn chuẩn bị tâm lý và đồ dùng (như chăn quen thuộc) cho bé nếu phải ở lại viện không ạ?"
Chi phí khám chữa trong trường hợp cấp cứu có cao hơn bình thường không ạ?,"Dạ, chi phí cấp cứu tại GAIA được tính dựa trên các dịch vụ thực tế như thuốc men, xét nghiệm, phẫu thuật (nếu có) chứ không thu thêm phụ phí chỉ vì là ngoài giờ hay khẩn cấp ạ. GAIA luôn đặt việc cứu chữa bé lên hàng đầu. Sau khi bé ổn định, chúng tôi mới ngồi lại trao đổi chi phí cụ thể với Anh/Chị một cách minh bạch. Anh/Chị có thể hoàn toàn tập trung lo cho bé, đừng lo lắng về chi phí bất ngờ. Anh/Chị có muốn GAIA cung cấp bảng giá tham khảo cho các dịch vụ cấp cứu thông thường để chuẩn bị trước không ạ?"
"Khi thú cưng gặp tai nạn, em nên làm gì trước khi đưa bé đến GAIA?","Dạ, bình tĩnh và sơ cứu đúng cách sẽ giúp tăng cơ hội cho bé ạ. Nếu bé bị tai nạn, đầu tiên Anh/Chị cần giữ bé nằm yên và cố định (nhất là nếu nghi bé gãy xương), có thể quấn bé trong khăn/bạt để cố định cơ thể. Nếu có chảy máu, dùng khăn sạch băng ép lại. Trường hợp bé khó thở, hãy đảm bảo đường thở thông thoáng (kéo lưỡi bé ra nếu cần). Ngay lập tức gọi cho GAIA qua hotline cấp cứu 024 3795 6956 để bác sĩ hướng dẫn thêm trong lúc Anh/Chị di chuyển bé đến viện. Làm đúng những bước này sẽ giúp bé an toàn hơn trên đường đến GAIA. Anh/Chị có muốn GAIA gửi tài liệu hướng dẫn sơ cứu cơ bản cho thú cưng để tham khảo trước không ạ?"
GAIA có kinh nghiệm xử lý các ca cấp cứu như ngộ độc hay sốc nhiệt không ạ?,"Dạ, GAIA đã gặp và xử lý nhiều ca cấp cứu phức tạp như ngộ độc do ăn phải bả, sốc nhiệt mùa hè, co giật do động kinh hoặc hôn mê do bệnh cấp tính ạ. Với mỗi trường hợp, bác sĩ GAIA đều có phác đồ cấp cứu nhanh và hiệu quả: như gây nôn và truyền giải độc khi ngộ độc, làm mát tích cực và truyền dịch khi sốc nhiệt... Nhờ kinh nghiệm và sự chuẩn bị sẵn thuốc men, máy móc (máy thở oxy, truyền dịch tự động), GAIA tự tin ứng phó kịp thời. Anh/Chị có thể an tâm rằng bé cưng sẽ được cấp cứu bởi đội ngũ giàu kinh nghiệm. Anh/Chị có muốn nghe về một vài trường hợp điển hình GAIA đã xử lý để thêm tin tưởng không ạ?"
"GAIA có đầy đủ thiết bị cấp cứu hiện đại (oxy, máy sốc tim...) để xử lý tình huống nguy kịch không ạ?","Dạ, GAIA được trang bị hầu hết các thiết bị cấp cứu cần thiết như lồng oxy, máy trợ thở, máy monitor theo dõi dấu hiệu sinh tồn, máy truyền dịch tự động, máy sưởi ấm, và cả máy sốc tim (defibrillator) dành cho thú cưng ạ. Tất cả nhằm đảm bảo khi bé vào cấp cứu sẽ được hỗ trợ hô hấp, tuần hoàn tốt nhất. Ngoài ra, GAIA còn có ngân hàng máu thú cưng để truyền máu khi cần. Những trang bị này tương đương với một phòng cấp cứu hiện đại cho người. Anh/Chị có muốn ghé thăm khu cấp cứu của GAIA để tận mắt thấy sự chuẩn bị của chúng tôi không ạ?"
"Nếu đưa bé đến GAIA trong tình trạng khẩn cấp, GAIA có ưu tiên khám ngay không hay phải làm thủ tục trước ạ?","Dạ, trong trường hợp cấp cứu, GAIA sẽ ưu tiên khám và xử lý ngay lập tức, giấy tờ thủ tục để sau ạ. Khi Anh/Chị đưa bé tới cửa, đội ngũ bác sĩ sẽ lập tức tiếp nhận và sơ cứu, không bắt Anh/Chị chờ đăng ký hay thanh toán gì lúc đó. Mọi thủ tục hành chính sẽ được hỗ trợ làm song song hoặc sau khi bé đã ổn định. Sự sống và an toàn của bé luôn là ưu tiên số một. Anh/Chị có đồng ý để GAIA toàn quyền hành động nhanh vì lợi ích của bé trong trường hợp nguy kịch không ạ?"
GAIA có tư vấn sơ cứu qua điện thoại khi thú cưng gặp nạn không ạ?,"Dạ, có ạ. Ngay khi Anh/Chị gọi đến hotline cấp cứu của GAIA, bác sĩ trực sẽ hướng dẫn các bước sơ cứu cơ bản qua điện thoại nếu cần. Ví dụ: cách cầm máu tạm thời, hô hấp nhân tạo (CPR) cho thú cưng, hay xử lý khi bé bị co giật. Những hướng dẫn kịp thời này rất quan trọng trước khi bé đến được bệnh viện. GAIA muốn đồng hành cùng Anh/Chị ngay từ phút đầu tiên xảy ra sự cố. Anh/Chị có muốn lưu lại số điện thoại bác sĩ trực cấp cứu để được hỗ trợ hướng dẫn bất cứ lúc nào không ạ?"
